listing_url,title,stock_type,price,location,km_driven,fuel_type,transmission,reg_state,other_specs
https://www.cars24.com/buy-used-maruti-ciaz-2017-cars-hyderabad-10490871199/,2017 Maruti Ciaz,Verified Direct Seller,₹5.40 lakh,phase 3 IDA Cherlapally Hyderabad Telangana K.V.Rangareddy,"1,63,627 km",Diesel,Manual,TS-08,[]
https://www.cars24.com/buy-used-skoda-rapid-2019-cars-hyderabad-10478392166/,2019 Skoda Rapid,Verified Direct Seller,₹5.10 lakh,Gayathri nagar Gayathri nagar Hyderabad,"1,28,146 km",Petrol,,TS-09,['Auto']
https://www.cars24.com/buy-used-hyundai-elite-i20-2020-cars-hyderabad-10498570175/,2020 Hyundai Elite i20,Verified Direct Seller,₹4.95 lakh,"Dinesh Homes, Road No 4, Bhavanipuram Colony, Ashok Nagar Hyderabad","1,41,090 km",Petrol,Manual,AP-39,[]
https://www.cars24.com/buy-used-tata-tiago-2016-cars-hyderabad-10414074155/,2016 Tata Tiago,Verified Direct Seller,₹3.15 lakh,Pocharam Hyderabad Telangana,"1,47,699 km",Diesel,Manual,TS-10,[]
https://www.cars24.com/buy-used-renault-triber-2020-cars-hyderabad-10494474119/,2020 Renault TRIBER,Verified Direct Seller,₹5.50 lakh,AS Rao Nagar Hyderabad,"37,695 km",Petrol,,TS-08,['Auto']
https://www.cars24.com/buy-used-maruti-eeco-2020-cars-hyderabad-10498876153/,2020 Maruti Eeco,Verified Direct Seller,₹4.70 lakh,Peeramcheru Hyderabad Telangana,"50,474 km",Petrol,Manual,TS-09,[]
https://www.cars24.com/buy-used-tata-punch-2022-cars-hyderabad-10460175112/,2022 Tata PUNCH,Verified Direct Seller,₹7.10 lakh,Pbel city Pbel city Peeramcheru,"30,693 km",Petrol,,TS-07,['Auto']
https://www.cars24.com/buy-used-mahindra-xuv500-2015-cars-hyderabad-10412777170/,2015 Mahindra XUV500,Verified Direct Seller,₹7.90 lakh,Ramgopalpet Hyderabad Telangana,"89,891 km",Diesel,Manual,TS-10,[]
https://www.cars24.com/buy-used-hyundai-venue-2019-cars-hyderabad-10462875179/,2019 Hyundai VENUE,Verified Direct Seller,₹7.98 lakh,Rangareddy Opp Kanchi cafe Manikonda,"58,805 km",Diesel,Manual,TS-07,[]
https://www.cars24.com/buy-used-hyundai-verna-2021-cars-hyderabad-10469079158/,2021 Hyundai Verna,Verified Direct Seller,₹8.00 lakh,"22-5-844, Pathergatti Rd","81,070 km",Petrol,Manual,TS-16,[]
https://www.cars24.com/buy-used-tata-altroz-2023-cars-hyderabad-10410178118/,2023 Tata ALTROZ,Verified Direct Seller,₹8.00 lakh,New Bowenpally Secunderabad Telangana,"64,541 km",Diesel,Manual,TS-10,[]
https://www.cars24.com/buy-used-maruti-new-wagon-r-2022-cars-hyderabad-10420475159/,2022 Maruti New Wagon-R,Verified Direct Seller,₹5.60 lakh,Tapadia nivas Tapadia nivas Hyderabad,"25,844 km",CNG,Manual,TS-12,[]
https://www.cars24.com/buy-used-hyundai-new-i20-2021-cars-hyderabad-10445979172/,2021 Hyundai NEW I20,Verified Direct Seller,₹7.74 lakh,PRAGATHI NAGAR Hyderabad,"47,053 km",Petrol,,TS-09,['Auto']
